,address_geocoded,displayLongitude,displayLatitude,address
48,"проспект Абая 20, 010000 Нұр-Сұлтан, Қазақстан",71.41156,51.16623,"пр. Абая, д. 20"
49,"проспект Абая 23, 010000 Нұр-Сұлтан, Қазақстан",71.41293,51.167,"пр. Абая, д. 23"
50,"проспект Абая 40, 010000 Нұр-Сұлтан, Қазақстан",71.43501,51.16902,"пр. Абая, д. 40"
51,"проспект Абая 45, 010000 Нұр-Сұлтан, Қазақстан",71.43002,51.16919,пр. Абая д. 45
52,"проспект Абая 45, 010000 Нұр-Сұлтан, Қазақстан",71.43002,51.16919,пр. Абая д. 45
53,"проспект Абая 45, 010000 Нұр-Сұлтан, Қазақстан",71.43002,51.16919,"пр. Абая, д. 45"
54,"проспект Абая 48, 010000 Нұр-Сұлтан, Қазақстан",71.44052,51.16938,"пр. Абая, д. 48"
55,"проспект Абая 48, 010000 Нұр-Сұлтан, Қазақстан",71.44052,51.16938,"пр. Абая, д. 48"
56,"проспект Абая 48, 010000 Нұр-Сұлтан, Қазақстан",71.44052,51.16938,"пр. Абая, д. 48"
57,"проспект Абая 48, 010000 Нұр-Сұлтан, Қазақстан",71.44052,51.16938,"пр. Абая, д. 48"
58,"проспект Абая 50, 010000 Нұр-Сұлтан, Қазақстан",71.44229,51.1699,"пр. Абая, д. 50"
59,"проспект Абылай Хана 27, 010009 Нұр-Сұлтан, Қазақстан",71.48483,51.15579,"пр. ​Абылай Хана, д. 27/3"
60,"проспект Абылай Хана 27, 010009 Нұр-Сұлтан, Қазақстан",71.48483,51.15579,"пр. Абылай Хана, д. 27/3"
61,"проспект Абылай Хана 27, 010009 Нұр-Сұлтан, Қазақстан",71.48483,51.15579,"пр. Абылай Хана, д. 27/3"
62,"проспект Абылай Хана 29, 010009 Нұр-Сұлтан, Қазақстан",71.48505,51.15531,"пр. Абылай Хана, д. 29"
63,"проспект Абылай Хана 31, 010009 Нұр-Сұлтан, Қазақстан",71.48629,51.15527,"пр. Абылай Хана, д. 31"
64,"проспект Абылай Хана 31, 010009 Нұр-Сұлтан, Қазақстан",71.48629,51.15527,"пр. Абылай Хана, д. 31"
65,"проспект Абылай Хана 34, 010009 Нұр-Сұлтан, Қазақстан",71.48567,51.15404,"пр. Абылай хана, д. 34"
66,"проспект Абылай Хана 34, 010009 Нұр-Сұлтан, Қазақстан",71.48567,51.15404,"пр. Абылай Хана, д. 34"
67,"проспект Абылай Хана 34, 010009 Нұр-Сұлтан, Қазақстан",71.48567,51.15404,"пр. Абылай Хана, д. 34"
68,"проспект Абылай Хана 34, 010009 Нұр-Сұлтан, Қазақстан",71.48567,51.15404,"пр. Абылай Хана, д. 34"
69,"проспект Абылай Хана 34, 010009 Нұр-Сұлтан, Қазақстан",71.48567,51.15404,"пр. Абылай Хана, д. 34"
70,"проспект Абылай Хана 34, 010009 Нұр-Сұлтан, Қазақстан",71.48567,51.15404,"пр. Абылай Хана, д. 34"
71,"проспект Абылай Хана 41/3, 010009 Нұр-Сұлтан, Қазақстан",71.49235,51.15425,"пр. Абылай Хана, д. 41/3"
72,"проспект Абылай Хана 42, 010009 Нұр-Сұлтан, Қазақстан",71.49525,51.14904,"пр. Абылай Хана, д. 42"
73,"проспект Абылай Хана 5, 010008 Нұр-Сұлтан, Қазақстан",71.47305,51.16018,"пр. Абылай хана, д. 5"
74,"проспект Абылай Хана 57/2, 010009 Нұр-Сұлтан, Қазақстан",71.50302,51.14995,"пр. Абылай Хана, д. 57/2"
75,"проспект Абылай Хана 7, 010008 Нұр-Сұлтан, Қазақстан",71.47403,51.1599,"пр. Абылай Хана, д. 7"
76,"Бейбітшілік көшесі 14, 010000 Нұр-Сұлтан, Қазақстан",71.42126,51.17053,"пр. Бейбитшилик, д. 14"
77,"Бейбітшілік көшесі 14, 010000 Нұр-Сұлтан, Қазақстан",71.42126,51.17053,"пр. Бейбитшилик, д. 14"
78,"Бейбітшілік көшесі 30, 010000 Нұр-Сұлтан, Қазақстан",71.41924,51.17596,"пр. Бейбитшилик, д. 30"
79,"Бейбітшілік көшесі 30, 010000 Нұр-Сұлтан, Қазақстан",71.41924,51.17596,"пр. Бейбитшилик, д. 30"
80,"Бейбітшілік көшесі 36, 010000 Нұр-Сұлтан, Қазақстан",71.41856,51.17839,"пр. Бейбитшилик, д. 36"
81,"Бейбітшілік көшесі 8, 010000 Нұр-Сұлтан, Қазақстан",71.4219,51.16704,пр. Бейбитшилик д. 8
82,"проспект Бауыржана Момышулы 10, 010010 Нұр-Сұлтан, Қазақстан",71.47566,51.13884,"пр. Б.Момышулы, д. 10"
83,"проспект Бауыржана Момышулы 10, 010010 Нұр-Сұлтан, Қазақстан",71.47566,51.13884,"пр. Б.Момышулы, д. 10"
84,"проспект Бауыржана Момышулы 10, 010010 Нұр-Сұлтан, Қазақстан",71.47566,51.13884,"пр. Б.Момышулы, д. 10"
