id,address1,address2,latitude,longitude,has_cardomat,is_open,workload,city
49,"11 мкр-н, д. 112 Г, помещение 108","на пересечении пр. Абылхаир хана и ул. М. Маметовой, ТД Актобе Ажары",50.2809596332,57.19498125,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Актобе
47,"пр. Абылхаир хана, д. 1","ост. ""Студенческая""",50.3111654311449,57.1469861521138,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Актобе
46,"пр. Абылхаир хана, д. 53",возле кафе Стамбул,50.2954,57.15894,False,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Актобе
42,"пр. Абылхаир хана, д. 89","уг. ул. М.Оспанова, ост. ""Сазда""",50.2874133525,57.1771504391,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Актобе
18,"ул. 101 Стрелковой Бригады, д. 8",возле клиники Куаныш,50.2870224879373,57.1654472797753,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Актобе
48,"ул. Ахтанова, д. 48/4","уг. ул. Валиханова, ТД Арай-2, рядом с Центральным рынком",50.2813518629682,57.229309597244,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Актобе
51,"ул. Заводская, д. 43, ВП 63","на пересечении улиц: Жазыкова, Мирзояна и Заводская, м/у отделением Казкоммерцбанка и СШ №13",50.2729174112,57.2323132381,False,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Актобе
44,"ул. Кереева, д. 2","уг. ул. Валиханова, ост. ""Привокзальная""",50.2821431254,57.2174204074,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Актобе
41,"ул. Маресьева, д. 40","уг. ул. Молодежной, ост. ""Школа №20"", рядом с кафе ""Демалыс""",50.302596639653,57.1474999620185,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Актобе
43,"ул. Шернияза, д. 58","уг. ул. Валиханова, ост. ""Акация""",50.2817752815,57.2264386786,False,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Актобе
