id,address1,address2,latitude,longitude,has_cardomat,is_open,workload,city
116,"ул. Александра Затаевича, д. 31","ост. ""1000 мелочей"", рядом с супермаркетом Семей",50.3928,80.2328,False,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Семей
115,"ул. Валиханова, д. 100/112","уг. ул. Шакарима, ост. ""Агентство"", напротив магазина Черемушки",50.4146,80.253,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Семей
112,"ул. Валиханова, д. 100Б","ост. ""ЦУМ"", рядом с детской стоматологией",50.4258,80.242,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Семей
113,"ул. Глинки, д. 47а","ост. ""Технический институт"", рядом с магазином Рассвет",50.3981,80.2095,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Семей
114,"ул. Засядко, д. 88, кв. 131","ост. ""Рынок"", рядом с ТД Аркада",50.418607,80.252694,False,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Семей
