id,name,address1,address2,latitude,longitude,extra_info,is_open,city
128,Камкор-Авто,"ул. Торговая, д. 1",возле Авторынка,52.3086,76.9266,,True,Павлодар
235,СТО Patron,"ул. Жамбыла, д. 304",не доезжая до ул. Шухова,54.9009,69.1526,,True,Петропавловск
127,SEMEY MOTORS,"ул. Бозтаева, д. 4/3","около автомойки ""Водолей"", остановка ""Протезный завод""",50.3881,80.2273,,True,Семей
301,AVTO,"ул. Муратбаева, д. 51",не доезжая 150 метров до Автоцона,45.0138,78.4253,,True,Талдыкорган
232,СТО Тараз Битурбо,"мкр. Жансая, ул. Тауке хана, д. 13Б",рядом с ТД Давмир,42.8989,71.327,,True,Тараз
78,Ural Car City,"4 мкр-н, д. 28","остановка ""4 мкр-н"", под мостом",51.241105,51.433546,,True,Уральск
111,Guber service,"ул. Вокзальная, д. 8","остановка ""ж/д вокзал""",51.2275,51.3666,,True,Уральск
117,СТО,"пр. Назарбаева, д. 128","в сторону остановки ""Электротовары"", проезжая перекресток обл. ГАИ, на повороте к ""Бипэк Авто"", желтое здание",49.9853,82.5743,,True,Усть-Каменогорск
304,Avto City,"ул. Калинина, д. 72","250 м от перекрёстка пр. Абая и ул. Бажова, проезжая городской суд №2 и здание ""ВК РЭК"", первый поворот направо по ул. Бажова",49.9705,82.6171,,True,Усть-Каменогорск
302,Автосервис,"Тамерлановское шоссе, д. 111 А","бывший ""Mersedec центр"", между автосалоном ""Lexus"" и рестораном ""Алтын Шанырак""",42.3476,69.5362,,True,Шымкент
103,Вираж Авто Сервис,"Ташкентское шоссе, д. 22","возле старого Авторынка, на территории автосалона ""Вираж""",42.2866,69.5618,,True,Шымкент
81,СТО ДИВА,"ул. Байдибек би, д. 174","уг. Темирлановского шоссе, напротив рынка ""Авто-Нур"", возле АЗС ""Бейбарс""",42.331002,69.565796,,True,Шымкент
80,Автоцентр Тулпар,"ул. Кожанова, б/н","не доезжая до Обл. ГАИ, напротив АЗС ""TS""",42.331567,69.579072,В пятницу с 13:00 до 15:00 перерыв на пятничный намаз,True,Шымкент
244,СТО,"ул. Кожанова, д. 63","напротив магазина ""Сузар""",42.3336,69.5852,,True,Шымкент
298,СТО,"ул. Рыскулова, д. 1524","уг. ул. Казиева, с правой стороны, возле магазина ""КазБел-Техника""",42.3485,69.5981,,True,Шымкент
