,address_geocoded,displayLongitude,displayLatitude,address
43,"проспект Абылай Хана 34, 010009 Нұр-Сұлтан, Қазақстан",71.48567,51.15404,"пр. Абылай Хана, д. 34"
44,"проспект Абылай Хана 41/3, 010009 Нұр-Сұлтан, Қазақстан",71.49235,51.15425,"пр. Абылай Хана, д. 41/3"
45,"проспект Абылай Хана 4/4, 010008 Нұр-Сұлтан, Қазақстан",71.47005,51.15881,"пр. Абылай Хана, д. 4/4"
46,"проспект Абылай Хана 5, 010008 Нұр-Сұлтан, Қазақстан",71.47305,51.16018,"пр. Абылай Хана, д. 5"
47,"проспект Абылай Хана 9, 010008 Нұр-Сұлтан, Қазақстан",71.47486,51.1596,"пр. Абылай Хана, д. 9"
48,"проспект Бауыржана Момышулы 10, 010010 Нұр-Сұлтан, Қазақстан",71.47566,51.13884,"пр. Б.Момышулы, д. 10"
49,"проспект Бауыржана Момышулы 12, 010000 Нұр-Сұлтан, Қазақстан",71.47911,51.13983,"пр. Б.Момышулы, д. 12"
50,"проспект Бауыржана Момышулы 13/1, 010010 Нұр-Сұлтан, Қазақстан",71.46953,51.1386,"пр. Б.Момышулы, д. 13/1"
51,"проспект Бауыржана Момышулы 16, 010000 Нұр-Сұлтан, Қазақстан",71.48321,51.14049,"пр. Б.Момышулы, д. 16"
52,"проспект Бауыржана Момышулы 17, 010010 Нұр-Сұлтан, Қазақстан",71.4737,51.13908,"пр. Б.Момышулы, д. 17"
53,"проспект Бауыржана Момышулы 19/1, 010010 Нұр-Сұлтан, Қазақстан",71.47451,51.13996,"пр. Б.Момышулы, д. 19/1"
54,"проспект Бауыржана Момышулы 23, 010000 Нұр-Сұлтан, Қазақстан",71.47842,51.14053,"пр. Б.Момышулы, д. 23"
55,"проспект Бауыржана Момышулы 4, 010010 Нұр-Сұлтан, Қазақстан",71.47048,51.13747,"пр. Б.Момышулы, д. 4"
56,"проспект Богенбай батыра 2/1, 010000 Нұр-Сұлтан, Қазақстан",71.38857,51.17669,"пр. Богенбай батыра, д. 2/1"
